name,url,image_url
Edwin Jenner (TV Universe),https://walkingdead.fandom.com/wiki/Edwin_Jenner_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/8/85/EdwinS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019232934
Edwin Jenner (TV Universe),https://walkingdead.fandom.com/wiki/Edwin_Jenner_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/8/85/EdwinS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019232934
Candace Jenner (TV Series),https://walkingdead.fandom.com/wiki/Candace_Jenner_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/a3/CandaceS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019232926
Candace Jenner (TV Series),https://walkingdead.fandom.com/wiki/Candace_Jenner_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/a3/CandaceS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019232926
Maggie Rhee (TV Universe),https://walkingdead.fandom.com/wiki/Maggie_Rhee_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/3/39/MaggieS11Crop.png/revision/latest/scale-to-width-down/116?cb=20221031231311
Maggie Rhee (TV Universe),https://walkingdead.fandom.com/wiki/Maggie_Rhee_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/3/39/MaggieS11Crop.png/revision/latest/scale-to-width-down/116?cb=20221031231311
Beth Greene (TV Series),https://walkingdead.fandom.com/wiki/Beth_Greene_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/27/BethS5Crop.png/revision/latest/scale-to-width-down/116?cb=20221019232804
Beth Greene (TV Series),https://walkingdead.fandom.com/wiki/Beth_Greene_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/27/BethS5Crop.png/revision/latest/scale-to-width-down/116?cb=20221019232804
Hershel Greene (TV Series),https://walkingdead.fandom.com/wiki/Hershel_Greene_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/54/HershelS4Crop.png/revision/latest/scale-to-width-down/116?cb=20221019232951
Hershel Greene (TV Series),https://walkingdead.fandom.com/wiki/Hershel_Greene_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/54/HershelS4Crop.png/revision/latest/scale-to-width-down/116?cb=20221019232951
Annette Greene (TV Series),https://walkingdead.fandom.com/wiki/Annette_Greene_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/8/86/AnnetteS2Crop.png/revision/latest/scale-to-width-down/116?cb=20221019232755
Annette Greene (TV Series),https://walkingdead.fandom.com/wiki/Annette_Greene_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/8/86/AnnetteS2Crop.png/revision/latest/scale-to-width-down/116?cb=20221019232755
